word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
blossom,44,2.26,1.18,0.03,2.65,0.53,2.21,7
blubber,663,-1.48,1.99,-0.43,2.38,-1.14,1.97,1
blue,544,1.76,1.78,-0.69,2.2,0.63,1.64,143
board,664,-0.18,1.23,-1.64,2.12,-0.02,1.77,239
body,665,0.55,2.37,0.52,2.63,0.34,2.12,276
bold,45,1.8,1.61,0.6,2.21,1.67,1.81,21
bomb,46,-2.9,1.19,2.15,2.4,-0.46,2.88,36
book,47,0.72,1.54,-0.83,2.49,0.3,2.05,193
bored,48,-2.05,1.35,-2.17,2.31,-0.89,1.7,14
bottle,666,1.15,1.49,-0.21,2.44,-0.22,1.65,76
bouquet,667,2.02,1.84,0.46,2.47,1.15,1.8,4
bowl,49,0.33,1.33,-1.53,2.12,-0.31,1.67,23
boxer,585,0.51,1.8,0.12,2.26,0.1,1.64,1
boy,50,1.32,1.6,-0.42,2.37,0.34,2.2,242
brave,668,2.15,1.64,1.15,2.45,2.22,1.86,24
breast,51,1.5,1.78,0.37,2.39,0.39,2.27,11
breeze,669,1.85,1.71,-0.63,2.32,0.54,1.67,14
bride,670,2.34,1.71,0.55,2.74,0.74,2.36,33
bright,671,2.5,1.55,0.4,2.33,1.34,1.82,87
broken,672,-1.95,1.92,0.43,2.42,-0.86,1.62,63
brother,52,2.11,2.17,-0.29,2.68,0.12,2.31,73
brutal,53,-2.2,1.9,1.6,2.36,-0.41,2.7,7
building,550,0.29,1.15,-1.08,1.94,0.25,1.57,160
bullet,673,-1.71,2.06,0.33,2.48,-1.1,2.61,28
bunny,54,2.24,1.32,-0.94,2.61,-0.03,2.18,1
burdened,55,-2.5,1.32,0.63,2.07,0.03,2.35,4
burial,56,-2.95,1.41,0.08,2.4,-1.45,1.95,11
burn,586,-2.27,1.72,1.22,1.91,-0.78,1.83,15
bus,541,-0.49,1.57,-1.45,1.8,-0.16,1.75,34
busybody,674,0.17,2.02,-0.16,2.41,0.45,1.97,.
butter,57,0.33,1.2,-1.83,1.84,-0.33,1.69,27
butterfly,58,2.17,1.2,-1.53,2.39,-0.35,2.27,2
cabinet,675,0.05,0.31,-1.57,1.85,-0.27,1.66,17
cake,59,2.26,1.27,0,2.37,0.16,2.05,9
cancer,60,-3.5,0.85,1.42,2.83,-1.58,2.99,25
candy,61,1.54,2.09,-0.42,2.4,0.33,1.91,16
cane,677,-1,1.8,-0.8,1.93,-0.73,1.95,12
cannon,678,-0.1,2.2,-0.29,2.84,0.17,2.29,7
capable,62,2.16,1.39,0.08,2.07,1.47,1.94,66
car,551,2.73,1.63,1.24,2.04,1.98,2.06,274
carcass,679,-1.66,1.92,-0.17,2.07,-0.1,1.79,7
carefree,63,2.54,1.38,-0.83,2.84,0.78,2.5,9
caress,64,2.84,1.16,0.14,3,0.83,2.13,1
cash,503,3.37,1,2.37,2.21,1.96,2.39,36
casino,680,1.81,1.66,1.51,2.12,0.12,2.15,2
cat,504,0.72,2.43,-0.62,2.24,1.16,2.05,.
cell,587,-1.18,1.7,-0.92,2.19,-0.88,2.13,65
cellar,681,-0.68,1.68,-0.61,2.33,-0.34,1.61,26
cemetery,65,-2.37,1.4,-0.18,2.66,-0.73,2.14,15
chair,66,0.08,0.98,-1.85,1.77,-0.44,1.6,66
champ,682,2.18,1.97,1,2.43,1.77,2,1
champion,67,3.44,0.9,0.85,3.15,1.5,2.85,23
chance,683,1.02,1.77,0.38,2.58,-0.36,1.93,131
chaos,684,-0.83,2.36,1.67,2.06,-1.14,1.95,17
charm,68,1.77,1.58,0.16,2.25,0.57,2.25,26
cheer,69,3.1,1.17,1.12,2.45,1,2.06,8
child,70,2.08,1.98,0.55,2.29,0.1,2.3,213
chin,685,0.29,1.27,-1.69,1.98,0.26,1.48,27
chocolate,505,1.88,1.89,0.29,2.55,0.18,1.97,9
christmas,686,2.8,1.55,1.27,2.56,0.37,2.09,27
church,71,1.28,2.31,-0.66,2.45,0,2.42,348
circle,687,0.67,1.26,-1.14,2.13,0.03,1.46,60
circus,72,2.3,1.84,0.97,2.59,0.39,2.25,7
city,73,1.03,1.37,0.24,2.53,0.74,2.08,393
cliff,553,-0.33,2.08,1.25,2.15,-0.65,2.11,11
clock,688,0.14,1.54,-0.98,2.54,-0.33,1.97,20
clothing,74,1.54,1.85,-0.22,2.88,0.33,2.14,20
clouds,533,1.18,2.18,-1.7,2.08,0.22,1.66,38
clumsy,689,-1,2.22,0.18,2.4,-1.14,1.79,6
coarse,690,-0.45,1.42,-0.79,1.84,0,1.43,10
coast,691,0.98,1.86,-0.41,2.31,0.67,1.71,61
cockroach,75,-2.19,2.11,1.11,2.78,-0.26,2.58,2
coffin,76,-2.44,1.96,0.03,2.79,-0.92,2.54,7
coin,692,1.02,1.96,-0.71,2.48,0.66,1.68,10
cold,693,-0.98,1.99,0.19,2.23,-0.31,1.73,171
color,694,2.02,1.57,-0.27,2.64,1.17,1.82,141
column,695,0.17,0.85,-1.38,1.91,-0.19,1.58,71
comedy,77,3.37,0.94,0.85,2.81,0.44,2.08,39
comfort,696,2.07,2.14,-1.07,2.85,0.7,2.05,43
computer,552,1.24,1.61,-0.25,1.93,0.29,1.99,13
concentrate,78,0.2,1.28,-0.35,2.13,-0.03,1.75,11
confident,79,2.98,1.29,1.22,2.41,2.68,1.94,16
confused,80,-1.79,1.51,1.03,1.88,-0.76,1.91,44
consoled,81,0.78,1.64,-0.47,2.22,-0.56,1.84,2
contempt,82,-1.15,2.13,0.28,2.04,0.13,1.73,15
contents,83,-0.11,0.89,-0.68,2.14,-0.15,1.49,16
context,84,0.2,1.38,-0.78,2.24,0.17,1.39,2
controlling,85,-1.2,2.25,1.1,2.19,0.17,3.15,23
cook,697,1.16,1.89,-0.56,1.96,0.14,1.49,47
cord,698,0.1,1.09,-1.46,2.09,0,1.22,6
cork,699,0.22,1.13,-1.2,2.18,-0.02,1.04,9
corner,700,-0.64,1.21,-1.09,1.92,-0.88,1.66,115
corpse,86,-2.82,1.48,-0.26,2.94,-1.41,2.44,7
corridor,701,-0.12,1.14,-1.37,2.41,0,1.48,17
corrupt,702,-1.68,2.32,-0.33,2.35,-0.36,2.3,8
cottage,87,1.45,1.52,-1.61,2.54,0.39,1.78,19
couple,506,2.41,1.97,1.39,2.31,1.02,2.28,122
